dateActivity,productId,cost,userId
2018-12-10,specialpack1_3,0.798,in2zu24e7h30i34
2018-12-12,specialpack1_3,0.798,cfs097mekv8me2w
2018-12-11,goldenspin,0.198,hn8mhj7d6n168d3
2018-12-12,specialpack,0.198,o2jozwugk1zmq71
2018-12-09,poolcash001,0.398,prsk55bfss07bp2
2018-12-11,goldenspin,0.198,wzyl6x9xvf4thzi
2018-12-07,specialpack1_0,0.398,ub4ap219kwxv2ox
2018-12-08,coinpack001,0.398,nbwl6agdnd6md6b
2018-12-10,coinpack001,0.398,lk4lwbcb14a093o
2018-12-07,goldenspin,0.198,u26wz8a05gb6yso
2018-12-13,goldenspin,0.198,dfkxmngjf2q2spx
2018-12-09,goldenspin,0.198,fzth56f876dnknb
2018-12-07,specialpack1_0,0.398,quvpf7n6au6tm2n
2018-12-10,specialpack1_0,0.398,bb78v158bwl5c6i
2018-12-11,goldenspin,0.198,kd0289fc72yr84z
2018-12-10,specialpack4_0,1.398,p6wy98tavnh5jgr
2018-12-11,specialpack1_0,0.398,2rc1wsf5ovx8r2x
2018-12-10,specialpack2_0,0.998,or7de6c5ezqvqto
2018-12-12,specialpack1_0,0.398,3zl4ivjm87fq800
2018-12-13,scratcherspack1,0.398,qnhshyfiul0x60u
2018-12-10,specialpack1_0,0.398,z4auyuotpj0n3ue
2018-12-10,specialpack1_3,0.798,ybkji4gvw7shkk8
2018-12-12,goldenspin,0.198,ok1gs44hjxu7nz8
2018-12-08,goldenspin,0.198,7iy3jk7o9cc8w39
2018-12-09,poolcash001,0.398,3m098alteka2fk3
2018-12-10,specialpack1_0,0.398,gau7q5pcni979kw
2018-12-09,specialpack1_0,0.398,hpenz9v3mytapyy
2018-12-09,poolcash002,0.998,ck82vsnoygpahgj
2018-12-11,specialpack2_0,0.998,b4hbly8p6vkrbvz
2018-12-08,goldenspin,0.198,on0nspulxa5txtx
2018-12-12,coinpack001,0.398,6kpr473m7x087s0
2018-12-09,specialpack1_0,0.398,z4cj922jfpjflvp
2018-12-12,specialpack1_0,0.398,oasj98ykekfnxvf
2018-12-08,specialpack1_0,0.398,7gsts9b5vsfotra
2018-12-08,specialpack4_0,1.398,f1ar75k41bz9616
2018-12-12,specialpack1_0,0.398,6geiw1fhf3vpj0z
2018-12-10,specialpack10_0,2.598,jowcx6smlhs3dc0
2018-12-13,coinpack001,0.398,t6ugexsni5ayfek
2018-12-07,goldenspin,0.198,5664kc11wvc120z
2018-12-12,poolcash002,0.998,q59wknwvmda5c0x
2018-12-08,specialpack1_0,0.398,ndfi1u9vuthuulj
2018-12-12,specialpack1_0,0.398,q7d3dzxgrkgg879
2018-12-13,specialpack1_3,0.798,qq03cxqz0vqdir0
2018-12-11,goldenspin,0.198,7prb7vnqka1x8pj
2018-12-10,specialpack,0.198,jg5v2o34zrabcmr
2018-12-12,coinpack003,1.998,wtx8zf6cgalzgfl
2018-12-09,goldenspin,0.198,xkp4vjm05tqgnt1
2018-12-12,coinpack001,0.398,fcsrdrtehy1dwf5
2018-12-08,coinpack001,0.398,qg4w8ggohpn5zf8
2018-12-10,specialpack1_0,0.398,ybj5l1xhmvca2yl
2018-12-10,goldenspin,0.198,0wbqo2iemey3nw9
2018-12-07,specialpack1_0,0.398,m35hhw27clj3tvj
2018-12-13,coinpack001,0.398,5iv4nkpldlvcr33
2018-12-10,specialpack1_0,0.398,n47gra6n5w4qgf9
2018-12-11,goldenspin,0.198,z3mcg7pusrws1dt
2018-12-11,specialpack,0.198,8uusl0kv54oua4i
2018-12-11,specialpack1_0,0.398,xq33ody91iy85gm
2018-12-10,goldenspin,0.198,67ix92ufgvxtxx8
2018-12-13,coinpack001,0.398,h9g78di3436bwpd
2018-12-08,goldenspin,0.198,apxasormsi7ptly
2018-12-07,specialpack9_0,1.998,j45d0rj1rzmqdqs
2018-12-09,coinpack001,0.398,5nsptctdws3j0o7
2018-12-10,specialpack1_3,0.798,xzzlhmoxfiyysj8
2018-12-12,specialpack1_2,0.598,eg2n4afmytaiesa
2018-12-07,poolcash003,1.998,2ibfulxpdpsdr11
2018-12-10,specialpack2_0,0.998,wiq6phr5v9qcnb5
2018-12-08,goldenspin,0.198,rao8r8o4socyw3f
2018-12-12,specialpack1_0,0.398,agm3bvtd2f2ljav
2018-12-12,specialpack1_3,0.798,a6yuivv0mxyr2er
2018-12-09,poolcash002,0.998,r116ogp6syzru14
2018-12-11,coinpack001,0.398,5gmgumnugev7zc7
2018-12-12,coinpack003,1.998,we33blew1xm4au9
2018-12-10,coinpack003,1.998,2d4qhuxp7le2he7
2018-12-12,coinpack001,0.398,3rp54r46fs1uqny
2018-12-12,specialpack1_3,0.798,77gtye0gqgl8t5h
2018-12-11,goldenspin,0.198,7k1fn7aw8nm4sbm
2018-12-07,specialpack1_0,0.398,ipilg2vsugl3sej
2018-12-10,specialpack4_0,1.398,czqcz8dlrndikgl
2018-12-12,specialpack2_0,0.998,1xorzy0g8nst1xk
2018-12-11,goldenspin,0.198,on0tpqtv7ay4yev
2018-12-12,specialpack12_0,2.998,v5ds4hfznxlc1xy
2018-12-12,specialpack1_2,0.598,l9eb9n7eytbb6v8
2018-12-07,specialpack1_0,0.398,kvxw2w4udpcpv6j
2018-12-09,poolcash002,0.998,nzikdz8mvfluasu
2018-12-10,coinpack001,0.398,hisv8vjdub5z7y6
2018-12-11,weeklypremiummembership01,1.598,zhlh3xksldr0qvo
2018-12-13,specialpack1_0,0.398,nyljtr9hpnkxljs
2018-12-11,coinpack001,0.398,nakgr6p6q0ov3oh
2018-12-08,goldenspin,0.198,2n9ct5ecb3qm5y2
2018-12-12,coinpack001,0.398,kbd27t7k80dkj4x
2018-12-12,specialpack1_3,0.798,i9a4aiwnf8dpi2n
2018-12-13,goldenspin,0.198,hjklv3k0n6159yp
2018-12-09,poolcash001,0.398,i054zcxwe0u7owm
2018-12-07,specialpack1_0,0.398,u37cxvdwvpxbkod
2018-12-13,goldenspin,0.198,8i08egjtoxs6e19
2018-12-09,goldenspin,0.198,yfhjz8y62esfnxf
2018-12-13,goldenspin,0.198,oqcua3w8cp4fmgc
2018-12-08,specialpack9_0,1.998,w1rmozh1x5k0z18
2018-12-10,coinpack001,0.398,630xp4c9qtkaxgr
2018-12-07,coinpack001,0.398,oxshpmav9pb3hnc
2018-12-12,coinpack002,0.998,n8dayvqqcstsci4
2018-12-13,goldenspin,0.198,feaeo3ob41r6tpe
2018-12-13,goldenspin,0.198,cy2ybpyk5dz1nhw
2018-12-07,specialpack9_0,1.998,3dh964tghfgjo3i
2018-12-10,specialpack1_3,0.798,q9qvm8zpengpndq
2018-12-12,goldenspin,0.198,rvwoagu75wmubn1
2018-12-10,specialpack1_2,0.598,1txewbyv82an6qz
2018-12-12,monthlypremiummembership01,3.998,kb350iqoa0obeim
2018-12-10,goldenspin,0.198,tsyn8f3j28skhx6
2018-12-10,goldenspin,0.198,mtyykuknh6fak2c
2018-12-07,coinpack001,0.398,tp405ofd9eifabq
2018-12-09,goldenspin,0.198,8qk1wu7bg38yq4y
2018-12-07,goldenspin,0.198,gnv1j43vy7gjuby
2018-12-07,specialpack1_0,0.398,z1w6q8m4cvd1bqg
2018-12-08,goldenspin,0.198,kqtiu71apmhjicn
2018-12-12,scratcherspack1,0.398,lz8rwlh1sbrgd3u
2018-12-09,specialpack49_0,9.998,dfxp1b1y5y194q8
2018-12-08,specialpack12_0,2.998,6ugsobjbf3yy8m7
2018-12-09,specialpack1_2,0.598,1pw4qyrkf57sx07
2018-12-12,coinpack001,0.398,7wuqny4cp70j2pf
2018-12-10,specialpack1_0,0.398,vec22r86lfg6sej
2018-12-10,coinpack001,0.398,pr1au85mpofy1jq
2018-12-10,goldenspin,0.198,vk60uka6pon2z8p
2018-12-08,specialpack1_2,0.598,immnmlz6p48j77z
2018-12-09,specialpack2_0,0.998,v9zsg6icmvc7p3y
2018-12-10,specialpack3_0,1.198,bkp17hedlm35orx
2018-12-09,specialpack2_0,0.998,xsn5r0yzeb8rux4
2018-12-08,goldenspin,0.198,k74t9ixkhbdg08n
2018-12-13,goldenspin,0.198,1zezxq7kss0znk6
2018-12-10,goldenspin,0.198,oeiz3d854u8fq9l
2018-12-09,poolcash002,0.998,drbmhbvbshqhrfv
2018-12-10,goldenspin,NA,zh4kqkjjhiv463f
2018-12-12,coinpack003,1.998,10n43b0mnk7zfxn
2018-12-09,specialpack2_0,0.998,mmvfkjg87e4tilz
2018-12-09,specialpack2_0,0.998,1525wgt7jt6yyjk
2018-12-07,coinpack001,0.398,xpg1g2423w390cw
2018-12-09,goldenspin,0.198,wu4la3tyz6b0ski
2018-12-10,specialpack1_0,0.398,2wqkmhhwtpf7pk9
2018-12-11,goldenspin,0.198,m9o606z5z1a5it9
2018-12-08,scratcherspack1,0.398,obd91fmr4crkhur
2018-12-13,specialpack1_0,0.398,n70wovkq7u3zus3
2018-12-12,goldenspin,0.198,atlzm4xv68q782x
